;dena21;dena22;dena23;dena24;dena25;dena26;dena41;dena42;dena71;dena72;dena73;dena74;dena75;dena76;dena81;dena82;dena83;dena84;dena91;dena92;dena93;dena94;dena95;dena96;dena97;dena98;dena99;dena100;dena101;dena102;dena103;dena104;dena105;dena106;dena107;dena108;dena109;dena110;dena111;dena112
t0001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0009;0;0;0;0;0.01;0.01;0.01;0.01;0;0;0;0;0;0.01;0.01;0;0.01;0.01;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0010;0;0.01;0.01;0.01;0.04;0.04;0.03;0.03;0.01;0.01;0.01;0.01;0.01;0.04;0.01;0.01;0.01;0.01;0.01;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0011;0.01;0.02;0.02;0.03;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.03;0.03;0.05;0.02;0.02;0.02;0.02;0.03;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0012;0.01;0.03;0.03;0.04;0.05;0.05;0.05;0.05;0.03;0.05;0.05;0.04;0.04;0.05;0.03;0.03;0.03;0.03;0.04;0.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0013;0.03;0.04;0.04;0.05;0.06;0.06;0.06;0.06;0.04;0.04;0.04;0.05;0.05;0.06;0.03;0.04;0.03;0.03;0.05;0.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0014;0.03;0.04;0.04;0.08;0.04;0.04;0.06;0.06;0.04;0.07;0.07;0.08;0.08;0.04;0.02;0.04;0.02;0.02;0.08;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0015;0.02;0.02;0.02;0.03;0.03;0.03;0.04;0.04;0.02;0.03;0.03;0.03;0.03;0.03;0.01;0.02;0.01;0.01;0.03;0.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0016;0;0;0;0;0.01;0.01;0.01;0.01;0;0;0;0;0;0.01;0;0;0;0;0;0.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
t0024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
